,0
bts,-21.329073906290297
jimin,-10.003326216112512
declared,0.0
worst,-0.9018052733184064
player,0.0
self,-1.6227835622878786
sabotage,0.0
ultra,0.0
practical,0.0
suga,-7.868216304437871
turned,-0.9018052733184064
game,-2.7343867370667163
economy,0.0
lesson,-0.9018052733184064
jungkook,-10.194744863201617
used,-0.9018052733184064
charades,0.0
say,-2.2209267321537354
unmentionable,0.0
word,0.0
jhope,-6.709650926561398
says,-2.2209267321537354
even,-3.1860193405946
explained,0.0
flying,-0.9018052733184064
low,0.0
fashion,-0.9018052733184064
jin,-9.045047389777915
rm,-9.16055842392229
ditched,0.0
practice,0.0
catch,0.0
pokemon,0.0
mystery,0.0
sunflowers,0.0
finally,-1.6227835622878786
solved,0.0
reeling,0.0
lee,-3.5903950020658093
hyun,-2.2209267321537354
back,-1.6227835622878786
fishing,0.0
squad,0.0
reveals,-6.518575955110331
named,-1.6227835622878786
upcoming,-2.2209267321537354
album,-5.166571304418244
lessons,0.0
learnt,0.0
since,-1.6227835622878786
debut,-2.7343867370667163
foreign,-0.9018052733184064
celebrities,-0.9018052733184064
spotted,-0.9018052733184064
bt,-0.9018052733184064
merch,-0.9018052733184064
believes,0.0
shoes,-0.9018052733184064
mankind,0.0
greatest,0.0
invention,0.0
song,-3.957364376505986
covers,0.0
done,-0.9018052733184064
new,-7.868216304437871
idol,-3.5903950020658093
group,-2.2209267321537354
dkb,0.0
goal,0.0
like,-5.422157643209508
messages,-0.9018052733184064
warm,0.0
heart,-1.6227835622878786
exo,0.0
suho,-0.9018052733184064
talk,0.0
responsibilities,0.0
difficulties,0.0
leader,-1.6227835622878786
photos,-4.605170185988091
prove,-3.5903950020658093
btss,-7.868216304437871
boyfriend,-0.9018052733184064
material,-0.9018052733184064
times,-7.240527950130835
clumsiest,0.0
stage,-3.1860193405946
songs,-3.5903950020658093
feature,0.0
big,-3.5903950020658093
hit,-3.1860193405946
female,-0.9018052733184064
producer,0.0
adora,0.0
revealed,-2.7343867370667163
contents,0.0
wallet,-0.9018052733184064
informed,0.0
brain,0.0
sleeping,0.0
beauties,0.0
gfriend,0.0
opens,0.0
possible,0.0
collab,-0.9018052733184064
agencies,0.0
joined,-0.9018052733184064
rap,0.0
line,0.0
outlook,0.0
life,-2.2209267321537354
differs,0.0
shown,-0.9018052733184064
lyrics,-2.2209267321537354
excusing,0.0
watch,0.0
learn,-0.9018052733184064
tried,-2.2209267321537354
ditch,0.0
workout,0.0
benefits,0.0
side,-1.6227835622878786
effects,0.0
warning,0.0
labels,0.0
need,-1.6227835622878786
knows,-0.9018052733184064
drive,0.0
fans,-7.070048748131681
wild,0.0
spoiler,-1.6227835622878786
fake,-0.9018052733184064
stripping,0.0
jackson,0.0
love,-4.293909671815294
made,-4.605170185988091
get,-2.7343867370667163
sidetracked,0.0
interview,-1.6227835622878786
best,-4.605170185988091
viral,-2.7343867370667163
egochallenge,0.0
videos,-2.2209267321537354
army,-5.422157643209508
amp,0.0
versions,0.0
